"YEAR";"T.SUM";"PHASE";"DOY"
1993;13502,3394907226;10;272
1993;12436,3964843834;10;291
1993;12971,0590877625;10;293
1993;12274,8242021636;10;282
1993;12038,2948212458;10;284
1993;11934,4749706035;10;277
1993;11717,1512776464;10;287
1993;12173,5530989717;10;285
1993;11816,6290842297;10;282
1993;12128,235434572;10;283
1993;12383,5236616285;10;287
1993;11961,4005643275;10;296
1993;12160,8788766044;10;293
1993;12918,1488834974;10;298
1993;11560,5754893237;10;278
1993;12681,0818681708;10;275
1993;12000,0691439837;10;293
1993;12550,241756858;10;281
1993;12092,0335492533;10;281
1993;12132,0416576108;10;275
1993;12558,4168422382;10;292
1993;12903,4235769673;10;293
1993;12135,1342865047;10;291
1993;11702,683675986;10;281
1993;13294,1600125388;10;289
1993;11976,5172074075;10;278
1993;12374,289438206;10;280
1993;13242,844370616;10;293
1993;11509,7937378737;10;272
1993;11941,9194282203;10;280
1993;11479,4646063524;10;268
1993;12626,0265765923;10;282
1993;11784,088158842;10;275
1993;12816,2537129444;10;282
1993;11607,7707780288;10;275
1993;12399,5203952165;10;291
1993;11975,607318047;10;284
1993;12174,6300860227;10;291
1993;11820,8352667958;10;287
1993;11904,4293498801;10;296
1993;12802,7686591577;10;295
1993;12746,9726468882;10;286
1993;11837,9118078252;10;280
1993;13325,850708418;10;280
1993;12115,2150028794;10;288
1993;12704,0962773793;10;291
1993;12816,3810276637;10;281
1993;11973,4448291469;10;284
1993;12522,1283819542;10;291
1993;12106,0362750516;10;283
1993;11864,7261921553;10;293
1993;12983,6779711056;10;278
1993;13379,3959842715;10;285
1993;12675,5362453367;10;295
1993;11878,4910861047;10;286
1993;11278,9900907673;10;275
1993;11845,2374978888;10;272
1993;11750,1034631367;10;275
1993;11407,5491521641;10;274
1993;11563,3742392611;10;280
1993;12035,9440726797;10;294
1993;12197,246937499;10;291
1993;13491,0687882188;10;278
1993;11424,5815135738;10;272
1993;11536,6279715725;10;271
1993;11562,1294930031;10;285
1993;13193,2602629027;10;283
1993;12311,946381577;10;279
1993;11977,4710176959;10;276
1993;13062,1650131657;10;285
1993;12699,0079560707;10;284
1993;12456,4167376177;10;284
1993;12925,1371087179;10;291
1993;11611,2317420699;10;272
1993;11402,9546133677;10;279
1993;11881,9484827913;10;274
1993;12516,7372497885;10;287
1993;11681,8256598048;10;270
1993;13374,0321814956;10;282
1993;12473,7425370843;10;289
1993;12464,6941946238;10;286
1993;12131,3378160129;10;282
1993;11614,0200256612;10;278
1993;12601,4671458008;10;288
1993;13159,5121407839;10;293
1993;12124,9232452062;10;285
1993;11649,8280531779;10;288
1993;13167,8626479841;10;290
1993;11583,6562768117;10;282
1993;11694,2312945606;10;291
1993;12903,871500081;10;280
1993;12330,5756946464;10;275
1993;12569,082211903;10;286
1993;11533,0239726593;10;271
1993;12636,8960794862;10;282
1993;13044,6671410407;10;292
1993;12719,1885141222;10;273
1993;12468,6816993419;10;292
1993;12045,694704802;10;284
1993;11267,1722744466;10;270
1993;11662,3402924017;10;281
1993;12470,8787834543;10;286
1993;12172,0458484938;10;283
1993;12812,6271880951;10;273
1993;13317,1697989234;10;288
1993;12092,4137808575;10;274
1993;12256,7683048143;10;290
1993;12351,0572227024;10;280
